split	c_P	c_R	c_F1	c_MAP	c_GMAP	d_P	d_R	d_F1	d_MAP	d_GMAP	s_P	s_R	s_F1	s_MAP	s_GMAP	t_P	t_R	t_F1	t_MAP	t_GMAP
13B1_golden_answers	0.0	0.0	0.0	0.0	0.0	0.31294117647058833	0.41178984099733607	0.2212143184131413	0.4647448979591836	0.17944189983293768	0.0	0.0	0.0	0.0	1.0000000000000194E-5	0.0	0.0	0.0	0.0	0.0
13B2_golden_answers	0.0	0.0	0.0	0.0	0.0	0.35176470588235303	0.4232037810283098	0.22844910915942748	0.5075838779956425	0.23631731565652478	0.0	0.0	0.0	0.0	1.0000000000000194E-5	0.0	0.0	0.0	0.0	0.0
13B3_golden_answers	0.0	0.0	0.0	0.0	0.0	0.3941176470588238	0.3493399155313247	0.2541780357922034	0.423718902375765	0.22793785409488077	0.0	0.0	0.0	0.0	1.0000000000000194E-5	0.0	0.0	0.0	0.0	0.0
13B4_golden_answers	0.0	0.0	0.0	0.0	0.0	0.4376470588235293	0.17309893354749706	0.20765219529892492	0.35102163087457205	0.11293591946030267	0.0	0.0	0.0	0.0	1.0000000000000194E-5	0.0	0.0	0.0	0.0	0.0
training14b_10pct_sample_answers	1.0	1.0	1.0	1.0569948186528497	1.03423447691931	0.19468267581475074	0.37851062251341355	0.19548601767750112	0.28852702381060397	0.021027826031967022	0.0	0.0	0.0	0.0	1.0000000000001046E-5	1.0	1.0	1.0	2.3162162162162163	1.4079824409941613
