split	YN_Acc	F_Strict	F_Lenient	F_MRR	L_P	L_R	L_F1	YN_macroF1	YN_F1_yes	YN_F1_no
13B1_golden_answers	0.9411764705882353	0.38461538461538464	0.4230769230769231	0.40384615384615385	0.3897463017973415	0.413935712624971	0.3599179592785732	0.9244444444444444	0.96	0.8888888888888888
13B2_golden_answers	0.8823529411764706	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.3946115288220552	0.3604465709728868	0.3666457164583285	0.8712121212121212	0.9090909090909091	0.8333333333333334
13B3_golden_answers	0.8636363636363636	0.45	0.5	0.475	0.3731271727010363	0.4349739632348328	0.3903525810768713	0.8362282878411911	0.9032258064516129	0.7692307692307693
13B4_golden_answers	0.9230769230769231	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.3838345864661654	0.3258872706241127	0.33927738927738926	0.9097222222222222	0.9444444444444444	0.875
training14b_10pct_sample_answers	0.8985507246376812	0.3595505617977528	0.3707865168539326	0.3651685393258427	0.41520992235277954	0.42361826068623293	0.39571905915799793	0.8767857142857143	0.9285714285714286	0.825
